cruise,lter_station,cast,niskin,date,latitude,longitude,depth
EN608,L11,19,24,2018-02-03 18:20:50,39.76312,-70.88978,4.141072200610692
EN608,L12,20,1,2018-02-03 21:20:22,39.92668,-70.768,463.51514975958105
EN608,L12,20,2,2018-02-03 21:20:32,39.92664,-70.76796,462.9349453838702
EN608,L12,20,3,2018-02-03 21:20:38,39.92662,-70.76793,462.68642731110003
EN608,L12,20,4,2018-02-03 21:20:45,39.92658,-70.76791999999999,462.9963322720981
EN608,L12,20,5,2018-02-03 21:20:51,39.926559999999995,-70.7679,462.6418722465032
EN608,L12,20,6,2018-02-03 21:21:01,39.926520000000004,-70.76787,462.2735500108062
EN608,L12,20,7,2018-02-03 21:32:29,39.92304,-70.77046999999999,5.074786965944059
EN608,L1,29,1,2018-02-04 21:11:19,41.1971,-70.88365999999999,3.5253624032113176
EN608,L1,29,2,2018-02-04 21:11:26,41.19712,-70.88365999999999,3.4340788067665535
EN608,L2,4,1,2018-02-01 05:44:26,41.02064,-70.87162,43.66209107613996
EN608,L2,4,2,2018-02-01 05:44:40,41.020559999999996,-70.87158000000001,43.820816458349725
EN608,L2,4,3,2018-02-01 05:47:02,41.0201,-70.87136,29.7096490100459
EN608,L2,4,4,2018-02-01 05:47:15,41.02006,-70.87133,29.595557287785468
EN608,L2,4,5,2018-02-01 05:47:25,41.02002,-70.8713,29.523133813692695
EN608,L2,4,6,2018-02-01 05:47:34,41.01998,-70.87125999999999,29.460631342842454
EN608,L2,4,7,2018-02-01 05:49:28,41.019459999999995,-70.87094,15.368316991173115
EN608,L2,4,8,2018-02-01 05:49:37,41.01943,-70.87094,15.56675113456591
EN608,L2,4,9,2018-02-01 05:49:44,41.01938,-70.87092,15.077610623561547
EN608,L2,4,10,2018-02-01 05:49:51,41.01935,-70.87092,15.215522569596539
EN608,L2,4,11,2018-02-01 05:52:14,41.0187,-70.87068000000001,3.978866742681134
EN608,L2,4,12,2018-02-01 05:52:23,41.01866,-70.87066,3.546255555642908
EN608,L2,4,13,2018-02-01 05:52:30,41.018609999999995,-70.87064000000001,3.4619161121348303
EN608,L2,4,14,2018-02-01 05:52:40,41.01856,-70.87062,3.737755574708426
EN608,L2,28,1,2018-02-04 18:25:02,41.029379999999996,-70.87988,4.232873524291195
EN608,L3,5,1,2018-02-01 09:24:00,40.85798,-70.88401999999999,44.244078967597474
EN608,L3,5,2,2018-02-01 09:24:09,40.85795,-70.88401999999999,44.87303512241331
EN608,L3,5,3,2018-02-01 09:24:16,40.857929999999996,-70.88401999999999,44.91470091930645
EN608,L3,5,4,2018-02-01 09:24:23,40.8579,-70.88401999999999,44.75696607206237
